'Elapsed time','FHR','UC'
'seconds','bpm','nd'
0.000,150.500,7.000
0.250,150.500,8.500
0.500,151.000,8.500
0.750,151.250,7.500
1.000,151.250,9.500
1.250,150.250,8.500
1.500,150.250,10.500
1.750,150.250,12.000
2.000,148.750,11.000
2.250,148.750,11.500
2.500,149.500,13.500
2.750,147.750,12.000
3.000,147.750,13.000
3.250,147.250,12.000
3.500,147.250,13.500
3.750,146.500,15.000
4.000,146.500,15.000
4.250,146.500,15.000
4.500,145.750,14.500
4.750,146.000,15.000
5.000,146.000,15.500
5.250,147.000,15.000
5.500,147.000,15.500
5.750,147.000,15.000
6.000,146.500,12.000
6.250,146.500,13.500
6.500,146.500,12.500
6.750,146.500,14.000
7.000,146.500,15.000
7.250,146.250,13.500
7.500,146.250,13.500
7.750,146.250,13.000
8.000,147.000,14.500
8.250,147.000,14.000
8.500,145.500,13.500
8.750,147.000,14.000
9.000,147.000,13.500
9.250,147.250,13.500
9.500,147.250,15.000
9.750,146.500,17.500
10.000,146.500,19.500
10.250,146.500,15.000
10.500,146.500,17.000
10.750,146.500,18.000
11.000,146.250,17.000
11.250,146.250,18.000
11.500,146.250,14.500
11.750,146.500,13.500
12.000,147.750,13.500
12.250,147.750,15.500
12.500,146.000,15.500
12.750,146.000,13.500
13.000,147.250,12.000
13.250,147.500,11.500
13.500,147.500,10.500
13.750,147.750,10.000
14.000,147.750,9.000
14.250,147.000,9.000
14.500,147.500,9.000
14.750,147.500,8.500
15.000,147.000,8.000
15.250,147.250,8.000
15.500,147.250,7.500
15.750,146.750,7.500
16.000,146.750,7.000
16.250,146.750,7.000
16.500,146.250,7.000
16.750,146.250,6.500
17.000,146.750,5.500
17.250,146.750,6.500
17.500,147.000,6.500
17.750,147.000,6.500
18.000,148.250,7.500
18.250,147.500,7.500
18.500,147.500,7.000
18.750,147.000,6.500
19.000,147.000,7.000
19.250,147.000,7.000
19.500,146.500,7.000
19.750,146.500,6.500
20.000,145.750,6.500
20.250,145.250,6.000
20.500,145.250,7.000
20.750,144.750,7.500
21.000,144.750,6.000
21.250,144.750,6.500
21.500,144.750,6.000
21.750,144.750,6.000
22.000,145.000,6.500
22.250,145.000,7.500
22.500,145.000,8.000
22.750,144.750,8.000
23.000,144.750,7.000
23.250,143.250,7.000
23.500,143.250,7.000
23.750,142.500,7.000
24.000,142.500,7.000
24.250,143.250,8.000
24.500,143.000,10.000
24.750,143.000,10.000
25.000,142.750,10.000
25.250,142.750,9.500
25.500,142.750,12.500
25.750,141.750,17.500
26.000,141.750,18.500
26.250,141.000,12.500
26.500,139.750,12.000
26.750,139.750,11.500
27.000,140.500,9.500
27.250,140.500,10.500
27.500,141.000,9.500
27.750,141.500,8.500
28.000,141.500,7.500
28.250,141.500,7.000
28.500,141.500,7.500
28.750,140.750,7.000
29.000,141.500,4.000
29.250,141.500,3.500
29.500,141.250,3.000
29.750,141.250,2.500
30.000,140.000,2.500
30.250,140.000,2.500
30.500,140.500,2.000
30.750,139.750,2.500
31.000,139.750,3.000
31.250,140.000,3.000
31.500,140.000,2.000
31.750,139.500,2.000
32.000,139.250,4.000
32.250,139.250,3.500
32.500,139.750,2.000
32.750,139.750,1.500
33.000,140.500,1.500
33.250,140.500,1.500
33.500,140.750,1.500
33.750,141.250,1.500
34.000,141.250,1.000
34.250,141.250,1.000
34.500,141.250,0.500
34.750,142.250,0.500
35.000,143.000,2.500
35.250,143.000,2.000
35.500,144.000,1.500
35.750,144.000,1.000
36.000,144.000,1.500
36.250,143.750,1.500
36.500,143.750,1.500
36.750,144.000,2.000
37.000,144.000,2.000
37.250,144.250,2.000
37.500,143.500,2.000
37.750,143.500,3.000
38.000,144.750,2.000
38.250,144.750,2.000
38.500,145.000,2.000
38.750,145.750,2.000
39.000,145.750,2.000
39.250,145.750,2.000
39.500,145.750,1.500
39.750,145.500,2.000
40.000,146.250,2.000
40.250,146.250,3.000
40.500,145.000,4.000
40.750,144.250,4.500
41.000,144.250,4.500
41.250,143.250,3.000
41.500,143.250,3.500
41.750,143.000,4.000
42.000,143.000,3.500
42.250,141.750,3.500
42.500,141.750,3.500
42.750,141.750,3.500
43.000,140.750,2.500
43.250,140.750,1.500
43.500,141.000,3.000
43.750,141.750,4.500
44.000,141.750,3.500
44.250,140.000,2.500
44.500,140.000,1.500
44.750,140.500,1.500
45.000,140.500,1.500
45.250,140.750,1.500
45.500,142.000,1.500
45.750,142.000,1.500
46.000,142.000,3.000
46.250,142.000,3.500
46.500,141.500,1.500
46.750,142.500,1.000
47.000,142.500,1.000
47.250,142.750,1.000
47.500,142.750,1.000
47.750,142.500,0.000
48.000,143.000,1.000
48.250,143.000,0.000
48.500,143.500,1.000
48.750,143.500,2.000
49.000,144.750,1.500
49.250,145.500,2.500
49.500,145.500,3.000
49.750,145.750,5.000
50.000,145.750,5.500
50.250,145.250,3.500
50.500,145.250,1.500
50.750,147.500,1.500
51.000,147.500,2.000
51.250,147.500,4.000
51.500,147.500,2.500
51.750,147.500,1.500
52.000,147.500,0.000
52.250,147.250,0.000
52.500,147.250,0.000
52.750,147.250,0.000
53.000,151.000,0.000
53.250,154.750,0.000
53.500,154.750,0.000
53.750,152.750,0.000
54.000,152.000,0.000
54.250,152.000,0.000
54.500,151.250,0.000
54.750,152.250,0.000
55.000,152.250,0.000
55.250,152.250,0.000
55.500,152.250,0.000
55.750,152.250,1.000
56.000,152.250,0.000
56.250,152.250,0.000
56.500,152.250,0.000
56.750,152.250,0.000
57.000,152.500,0.000
57.250,145.000,0.000
57.500,145.000,0.000
57.750,145.000,0.000
58.000,145.000,0.000
58.250,143.750,0.000
58.500,142.000,0.000
58.750,142.000,0.000
59.000,142.250,0.000
59.250,142.250,0.000
59.500,141.500,0.000
59.750,142.250,0.000
60.000,142.250,0.000
60.250,142.250,0.000
60.500,142.250,0.000
60.750,141.750,0.000
61.000,141.750,0.000
61.250,142.000,0.000
61.500,142.000,0.500
61.750,142.000,1.000
62.000,142.000,1.000
62.250,142.000,0.000
62.500,142.000,0.500
62.750,142.250,1.500
63.000,142.250,3.000
63.250,142.000,3.000
63.500,142.000,2.500
63.750,142.750,2.000
64.000,142.750,2.500
64.250,143.000,3.000
64.500,143.000,3.000
64.750,143.250,3.000
65.000,143.250,2.500
65.250,143.750,3.000
65.500,143.750,3.000
65.750,155.500,2.000
66.000,155.500,2.000
66.250,151.750,2.500
66.500,151.000,2.000
66.750,151.000,2.000
67.000,151.000,1.500
67.250,151.000,2.000
67.500,151.000,2.500
67.750,151.000,2.000
68.000,151.000,2.000
68.250,151.000,2.000
68.500,151.000,1.500
68.750,151.000,1.500
69.000,144.250,1.500
69.250,144.250,1.500
69.500,144.500,2.500
69.750,144.500,3.000
70.000,143.500,3.000
70.250,142.250,2.000
70.500,142.250,2.000
70.750,141.750,2.000
71.000,141.750,3.500
71.250,140.750,4.500
71.500,141.500,4.500
71.750,141.500,3.000
72.000,141.000,3.000
72.250,139.500,2.500
72.500,139.500,3.000
72.750,140.000,3.500
73.000,140.000,3.500
73.250,140.000,3.000
73.500,139.750,3.000
73.750,139.750,3.000
74.000,139.750,4.500
74.250,139.750,4.000
74.500,140.000,3.000
74.750,140.000,3.000
75.000,140.000,4.000
75.250,139.750,4.000
75.500,139.750,4.000
75.750,0.000,4.500
76.000,0.000,5.000
76.250,0.000,5.500
76.500,0.000,5.500
76.750,0.000,5.000
77.000,0.000,5.000
77.250,0.000,4.000
77.500,0.000,4.000
77.750,137.250,4.500
78.000,136.000,4.000
78.250,136.000,5.000
78.500,137.000,4.500
78.750,137.000,4.000
79.000,136.250,4.000
79.250,136.250,3.000
79.500,136.750,3.000
79.750,136.750,3.000
80.000,135.750,3.000
80.250,136.250,3.500
80.500,136.250,2.000
80.750,136.500,2.000
81.000,136.500,2.500
81.250,135.750,1.500
81.500,135.750,1.000
81.750,135.750,1.500
82.000,135.750,2.000
82.250,135.750,1.000
82.500,137.000,1.000
82.750,137.000,1.500
83.000,138.750,0.500
83.250,138.750,0.500
83.500,139.500,0.500
83.750,140.500,0.000
84.000,140.500,0.500
84.250,140.250,1.000
84.500,141.000,1.000
84.750,141.000,1.000
85.000,143.250,1.500
85.250,143.250,3.000
85.500,143.250,3.500
85.750,143.250,3.000
86.000,142.500,3.500
86.250,141.500,4.500
86.500,141.500,6.500
86.750,141.500,5.500
87.000,141.500,4.000
87.250,141.500,4.000
